ID,Term,Uzbek Meaning,Difficulty,Category,Context
345,travel service,sayohat xizmat,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
346,travel stop,sayohat bekat,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
347,travel guide,sayohat qo‘llanma,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
348,travel plan,sayohat reja,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
349,travel information,sayohat ma’lumot,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
350,city ticket,shahar chipta,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
351,city map,shahar xarita,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
352,city route,shahar yo‘nalish,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
353,city time,shahar vaqt,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
354,city trip,shahar safar,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
355,city service,shahar xizmat,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
356,city stop,shahar bekat,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
357,city guide,shahar qo‘llanma,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
358,city plan,shahar reja,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
359,city information,shahar ma’lumot,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
360,local ticket,mahalliy chipta,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
361,local map,mahalliy xarita,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
362,local route,mahalliy yo‘nalish,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
363,local time,mahalliy vaqt,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
364,local trip,mahalliy safar,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
365,local service,mahalliy xizmat,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
366,local stop,mahalliy bekat,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
367,local guide,mahalliy qo‘llanma,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
368,local plan,mahalliy reja,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
369,local information,mahalliy ma’lumot,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
370,tourist ticket,sayyohlik chipta,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
371,tourist map,sayyohlik xarita,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
372,tourist route,sayyohlik yo‘nalish,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
373,tourist time,sayyohlik vaqt,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
374,tourist trip,sayyohlik safar,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
375,tourist service,sayyohlik xizmat,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
376,tourist stop,sayyohlik bekat,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
377,tourist guide,sayyohlik qo‘llanma,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
378,tourist plan,sayyohlik reja,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
379,tourist information,sayyohlik ma’lumot,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
380,academic skill,akademik ko‘nikma,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
381,academic practice,akademik mashq,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
382,academic task,akademik topshiriq,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
383,academic strategy,akademik strategiya,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
384,academic progress,akademik rivojlanish,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
385,academic assessment,akademik baholash,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
386,academic method,akademik usul,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
387,academic result,akademik natija,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
388,academic goal,akademik maqsad,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
389,academic feedback,akademik fikr-mulohaza,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
390,online skill,onlayn ko‘nikma,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
391,online practice,onlayn mashq,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
392,online task,onlayn topshiriq,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
393,online strategy,onlayn strategiya,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
394,online progress,onlayn rivojlanish,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
395,online assessment,onlayn baholash,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
396,online method,onlayn usul,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
397,online result,onlayn natija,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
398,online goal,onlayn maqsad,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
399,online feedback,onlayn fikr-mulohaza,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
400,practical skill,amaliy ko‘nikma,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
401,practical practice,amaliy mashq,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
402,practical task,amaliy topshiriq,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
403,practical strategy,amaliy strategiya,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
404,practical progress,amaliy rivojlanish,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
405,practical assessment,amaliy baholash,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
406,practical method,amaliy usul,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
407,practical result,amaliy natija,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
408,practical goal,amaliy maqsad,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
409,practical feedback,amaliy fikr-mulohaza,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
410,regular skill,muntazam ko‘nikma,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
411,regular practice,muntazam mashq,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
412,regular task,muntazam topshiriq,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
413,regular strategy,muntazam strategiya,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
414,regular progress,muntazam rivojlanish,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
415,regular assessment,muntazam baholash,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
416,regular method,muntazam usul,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
417,regular result,muntazam natija,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
418,regular goal,muntazam maqsad,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
419,regular feedback,muntazam fikr-mulohaza,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
420,independent skill,mustaqil ko‘nikma,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
421,independent practice,mustaqil mashq,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
422,independent task,mustaqil topshiriq,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
423,independent strategy,mustaqil strategiya,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
424,independent progress,mustaqil rivojlanish,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
425,independent assessment,mustaqil baholash,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
426,independent method,mustaqil usul,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
427,independent result,mustaqil natija,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
428,independent goal,mustaqil maqsad,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
429,independent feedback,mustaqil fikr-mulohaza,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
430,group skill,guruh ko‘nikma,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
431,group practice,guruh mashq,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
432,group task,guruh topshiriq,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
433,group strategy,guruh strategiya,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
434,group progress,guruh rivojlanish,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
435,group assessment,guruh baholash,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
436,group method,guruh usul,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
437,group result,guruh natija,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
438,group goal,guruh maqsad,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
439,group feedback,guruh fikr-mulohaza,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
440,language skill,til ko‘nikma,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
441,language practice,til mashq,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
442,language task,til topshiriq,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
443,language strategy,til strategiya,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
444,language progress,til rivojlanish,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
445,language assessment,til baholash,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
446,language method,til usul,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
447,language result,til natija,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
448,language goal,til maqsad,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
449,language feedback,til fikr-mulohaza,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
450,reading skill,o‘qish ko‘nikma,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
451,reading strategy,o‘qish strategiya,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
452,reading progress,o‘qish rivojlanish,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
453,reading assessment,o‘qish baholash,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
454,reading method,o‘qish usul,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
455,reading result,o‘qish natija,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
456,reading goal,o‘qish maqsad,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
457,reading feedback,o‘qish fikr-mulohaza,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
458,vocabulary skill,lug‘at ko‘nikma,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
459,vocabulary practice,lug‘at mashq,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
460,vocabulary task,lug‘at topshiriq,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
461,vocabulary strategy,lug‘at strategiya,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
462,vocabulary progress,lug‘at rivojlanish,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
463,vocabulary assessment,lug‘at baholash,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
464,vocabulary method,lug‘at usul,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
465,vocabulary result,lug‘at natija,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
466,vocabulary goal,lug‘at maqsad,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
467,vocabulary feedback,lug‘at fikr-mulohaza,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
468,learning skill,o‘rganish ko‘nikma,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
469,learning practice,o‘rganish mashq,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
470,learning task,o‘rganish topshiriq,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
471,learning strategy,o‘rganish strategiya,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
472,learning progress,o‘rganish rivojlanish,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
473,learning assessment,o‘rganish baholash,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
474,learning method,o‘rganish usul,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
475,learning result,o‘rganish natija,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
476,learning goal,o‘rganish maqsad,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
477,learning feedback,o‘rganish fikr-mulohaza,Medium,Education,The lesson uses the vocabulary item ___ in a education context.
478,digital system,raqamli tizim,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
479,digital tool,raqamli vosita,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
480,digital device,raqamli qurilma,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
481,digital platform,raqamli platforma,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
482,digital service,raqamli xizmat,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
483,digital network,raqamli tarmoq,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
484,digital application,raqamli ilova,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
485,digital process,raqamli jarayon,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
486,digital solution,raqamli yechim,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
487,digital access,raqamli kirish,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
488,smart system,aqlli tizim,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
489,smart tool,aqlli vosita,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
490,smart device,aqlli qurilma,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
491,smart platform,aqlli platforma,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
492,smart service,aqlli xizmat,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
493,smart network,aqlli tarmoq,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
494,smart application,aqlli ilova,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
495,smart process,aqlli jarayon,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
496,smart solution,aqlli yechim,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
497,smart access,aqlli kirish,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
498,online system,onlayn tizim,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
499,online tool,onlayn vosita,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
500,online device,onlayn qurilma,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
501,online platform,onlayn platforma,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
502,online service,onlayn xizmat,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
503,online network,onlayn tarmoq,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
504,online application,onlayn ilova,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
505,online process,onlayn jarayon,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
506,online solution,onlayn yechim,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
507,online access,onlayn kirish,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
508,mobile system,mobil tizim,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
509,mobile tool,mobil vosita,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
510,mobile device,mobil qurilma,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
511,mobile platform,mobil platforma,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
512,mobile service,mobil xizmat,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
513,mobile network,mobil tarmoq,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
514,mobile application,mobil ilova,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
515,mobile process,mobil jarayon,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
516,mobile solution,mobil yechim,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
517,mobile access,mobil kirish,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
518,secure system,xavfsiz tizim,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
519,secure tool,xavfsiz vosita,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
520,secure device,xavfsiz qurilma,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
521,secure platform,xavfsiz platforma,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
522,secure service,xavfsiz xizmat,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
523,secure network,xavfsiz tarmoq,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
524,secure application,xavfsiz ilova,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
525,secure process,xavfsiz jarayon,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
526,secure solution,xavfsiz yechim,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
527,secure access,xavfsiz kirish,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
528,automated system,avtomatlashtirilgan tizim,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
529,automated tool,avtomatlashtirilgan vosita,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
530,automated device,avtomatlashtirilgan qurilma,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
531,automated platform,avtomatlashtirilgan platforma,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
532,automated service,avtomatlashtirilgan xizmat,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
533,automated network,avtomatlashtirilgan tarmoq,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
534,automated application,avtomatlashtirilgan ilova,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
535,automated process,avtomatlashtirilgan jarayon,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
536,automated solution,avtomatlashtirilgan yechim,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
537,automated access,avtomatlashtirilgan kirish,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
538,technical system,texnik tizim,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
539,technical tool,texnik vosita,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
540,technical device,texnik qurilma,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
541,technical platform,texnik platforma,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
542,technical service,texnik xizmat,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
543,technical network,texnik tarmoq,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
544,technical application,texnik ilova,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
545,technical process,texnik jarayon,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
546,technical solution,texnik yechim,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
547,technical access,texnik kirish,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
548,cloud system,bulutli tizim,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
549,cloud tool,bulutli vosita,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
550,cloud device,bulutli qurilma,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
551,cloud platform,bulutli platforma,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
552,cloud service,bulutli xizmat,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
553,cloud network,bulutli tarmoq,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
554,cloud application,bulutli ilova,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
555,cloud process,bulutli jarayon,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
556,cloud solution,bulutli yechim,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
557,cloud access,bulutli kirish,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
558,virtual system,virtual tizim,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
559,virtual tool,virtual vosita,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
560,virtual device,virtual qurilma,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
561,virtual platform,virtual platforma,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
562,virtual service,virtual xizmat,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
563,virtual network,virtual tarmoq,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
564,virtual application,virtual ilova,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
565,virtual process,virtual jarayon,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
566,virtual solution,virtual yechim,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
567,virtual access,virtual kirish,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
568,data system,ma’lumot tizim,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
569,data tool,ma’lumot vosita,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
570,data device,ma’lumot qurilma,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
571,data platform,ma’lumot platforma,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
572,data service,ma’lumot xizmat,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
573,data network,ma’lumot tarmoq,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
574,data application,ma’lumot ilova,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
575,data process,ma’lumot jarayon,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
576,data solution,ma’lumot yechim,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
577,data access,ma’lumot kirish,Medium,Technology,The lesson uses the vocabulary item ___ in a technology context.
578,customer growth,mijoz o‘sish,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
579,customer strategy,mijoz strategiya,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
580,customer demand,mijoz talab,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
581,customer revenue,mijoz daromad,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
582,customer cost,mijoz xarajat,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
583,customer plan,mijoz reja,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
584,customer model,mijoz model,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
585,customer decision,mijoz qaror,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
586,customer opportunity,mijoz imkoniyat,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
587,customer feedback,mijoz fikr,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
588,market growth,bozor o‘sish,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
589,market strategy,bozor strategiya,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
590,market demand,bozor talab,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
591,market revenue,bozor daromad,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
592,market cost,bozor xarajat,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
593,market plan,bozor reja,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
594,market model,bozor model,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
595,market decision,bozor qaror,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
596,market opportunity,bozor imkoniyat,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
597,market feedback,bozor fikr,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
598,sales growth,savdo o‘sish,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
599,sales strategy,savdo strategiya,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
600,sales demand,savdo talab,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
601,sales revenue,savdo daromad,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
602,sales cost,savdo xarajat,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
603,sales plan,savdo reja,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
604,sales model,savdo model,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
605,sales decision,savdo qaror,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
606,sales opportunity,savdo imkoniyat,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
607,sales feedback,savdo fikr,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
608,business growth,biznes o‘sish,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
609,business strategy,biznes strategiya,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
610,business demand,biznes talab,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
611,business revenue,biznes daromad,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
612,business cost,biznes xarajat,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
613,business plan,biznes reja,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
614,business model,biznes model,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
615,business decision,biznes qaror,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
616,business opportunity,biznes imkoniyat,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
617,business feedback,biznes fikr,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
618,financial growth,moliyaviy o‘sish,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
619,financial strategy,moliyaviy strategiya,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
620,financial demand,moliyaviy talab,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
621,financial revenue,moliyaviy daromad,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
622,financial cost,moliyaviy xarajat,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
623,financial plan,moliyaviy reja,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
624,financial model,moliyaviy model,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
625,financial decision,moliyaviy qaror,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
626,financial opportunity,moliyaviy imkoniyat,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
627,financial feedback,moliyaviy fikr,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
628,local growth,mahalliy o‘sish,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
629,local strategy,mahalliy strategiya,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
630,local demand,mahalliy talab,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
631,local revenue,mahalliy daromad,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
632,local cost,mahalliy xarajat,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
633,local model,mahalliy model,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
634,local decision,mahalliy qaror,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
635,local opportunity,mahalliy imkoniyat,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
636,local feedback,mahalliy fikr,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
637,global growth,global o‘sish,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
638,global strategy,global strategiya,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
639,global demand,global talab,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
640,global revenue,global daromad,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
641,global cost,global xarajat,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
642,global plan,global reja,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
643,global model,global model,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
644,global decision,global qaror,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
645,global opportunity,global imkoniyat,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
646,global feedback,global fikr,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
647,service growth,xizmat o‘sish,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
648,service strategy,xizmat strategiya,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
649,service demand,xizmat talab,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
650,service revenue,xizmat daromad,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
