ID,Term,Uzbek Meaning,Difficulty,Category,Type,Question,Option A,Option B,Option C,Option D,Correct,Explanation
410,class group,sinf guruh,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'sinf guruh'.,bus trip,travel map,class group,healthy break,C,The English word or phrase for 'sinf guruh' is 'class group'.
411,class group,sinf guruh,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,travel map,class group,healthy break,bus trip,B,The best answer in this context is 'class group' (sinf guruh).
412,class task,sinf topshiriq,Low,School,EN→UZ,Choose the best Uzbek meaning of 'class task'.,sinf topshiriq,uy vazifasi test,o‘quvchi ish,o‘qituvchi qayd,A,'class task' means 'sinf topshiriq' in Uzbek. Remember it together with its context.
413,class task,sinf topshiriq,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'sinf topshiriq'.,homework test,student work,teacher note,class task,D,The English word or phrase for 'sinf topshiriq' is 'class task'.
414,class task,sinf topshiriq,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,student work,teacher note,class task,homework test,C,The best answer in this context is 'class task' (sinf topshiriq).
415,class note,sinf qayd,Low,School,EN→UZ,Choose the best Uzbek meaning of 'class note'.,kundalik sayr,sinf qayd,uy vazifasi topshiriq,o‘quvchi test,B,'class note' means 'sinf qayd' in Uzbek. Remember it together with its context.
416,class note,sinf qayd,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'sinf qayd'.,class note,homework task,student test,daily walk,A,The English word or phrase for 'sinf qayd' is 'class note'.
417,class note,sinf qayd,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,homework task,student test,daily walk,class note,D,The best answer in this context is 'class note' (sinf qayd).
418,English book,ingliz tili kitob,Low,School,EN→UZ,Choose the best Uzbek meaning of 'English book'.,sayyohlik safar,gapirmoq,ingliz tili kitob,shahar qo‘llanma,C,'English book' means 'ingliz tili kitob' in Uzbek. Remember it together with its context.
419,English book,ingliz tili kitob,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'ingliz tili kitob'.,speak,English book,city guide,tourist trip,B,The English word or phrase for 'ingliz tili kitob' is 'English book'.
420,English book,ingliz tili kitob,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,English book,city guide,tourist trip,speak,A,The best answer in this context is 'English book' (ingliz tili kitob).
421,English room,ingliz tili xona,Low,School,EN→UZ,Choose the best Uzbek meaning of 'English room'.,sayyohlik xizmat,o‘rganmoq,suv,ingliz tili xona,D,'English room' means 'ingliz tili xona' in Uzbek. Remember it together with its context.
422,English room,ingliz tili xona,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'ingliz tili xona'.,learn,water,English room,tourist service,C,The English word or phrase for 'ingliz tili xona' is 'English room'.
423,English room,ingliz tili xona,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,water,English room,tourist service,learn,B,The best answer in this context is 'English room' (ingliz tili xona).
424,English work,ingliz tili ish,Low,School,EN→UZ,Choose the best Uzbek meaning of 'English work'.,ingliz tili ish,o‘qituvchi,charchagan,bugun,A,'English work' means 'ingliz tili ish' in Uzbek. Remember it together with its context.
425,English work,ingliz tili ish,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'ingliz tili ish'.,teacher,tired,today,English work,D,The English word or phrase for 'ingliz tili ish' is 'English work'.
426,English work,ingliz tili ish,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,tired,today,English work,teacher,C,The best answer in this context is 'English work' (ingliz tili ish).
427,English time,ingliz tili vaqt,Low,School,EN→UZ,Choose the best Uzbek meaning of 'English time'.,qiyin,ingliz tili vaqt,mahalliy xarita,sayyohlik reja,B,'English time' means 'ingliz tili vaqt' in Uzbek. Remember it together with its context.
428,English time,ingliz tili vaqt,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'ingliz tili vaqt'.,English time,local map,tourist plan,difficult,A,The English word or phrase for 'ingliz tili vaqt' is 'English time'.
429,English time,ingliz tili vaqt,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,local map,tourist plan,difficult,English time,D,The best answer in this context is 'English time' (ingliz tili vaqt).
430,English plan,ingliz tili reja,Low,School,EN→UZ,Choose the best Uzbek meaning of 'English plan'.,sayyohlik safar,gapirmoq,ingliz tili reja,shahar qo‘llanma,C,'English plan' means 'ingliz tili reja' in Uzbek. Remember it together with its context.
431,English plan,ingliz tili reja,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'ingliz tili reja'.,speak,English plan,city guide,tourist trip,B,The English word or phrase for 'ingliz tili reja' is 'English plan'.
432,English plan,ingliz tili reja,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,English plan,city guide,tourist trip,speak,A,The best answer in this context is 'English plan' (ingliz tili reja).
433,English test,ingliz tili test,Low,School,EN→UZ,Choose the best Uzbek meaning of 'English test'.,sayyohlik reja,qiyin,uxlamoq,ingliz tili test,D,'English test' means 'ingliz tili test' in Uzbek. Remember it together with its context.
434,English test,ingliz tili test,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'ingliz tili test'.,difficult,sleep,English test,tourist plan,C,The English word or phrase for 'ingliz tili test' is 'English test'.
435,English test,ingliz tili test,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,sleep,English test,tourist plan,difficult,B,The best answer in this context is 'English test' (ingliz tili test).
436,English practice,ingliz tili mashq,Low,School,EN→UZ,Choose the best Uzbek meaning of 'English practice'.,ingliz tili mashq,o‘qish test,dars ish,o‘quvchi qayd,A,'English practice' means 'ingliz tili mashq' in Uzbek. Remember it together with its context.
437,English practice,ingliz tili mashq,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'ingliz tili mashq'.,study test,lesson work,student note,English practice,D,The English word or phrase for 'ingliz tili mashq' is 'English practice'.
438,English practice,ingliz tili mashq,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,lesson work,student note,English practice,study test,C,The best answer in this context is 'English practice' (ingliz tili mashq).
439,English group,ingliz tili guruh,Low,School,EN→UZ,Choose the best Uzbek meaning of 'English group'.,kundalik sayr,ingliz tili guruh,uy vazifasi topshiriq,o‘quvchi test,B,'English group' means 'ingliz tili guruh' in Uzbek. Remember it together with its context.
440,English group,ingliz tili guruh,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'ingliz tili guruh'.,English group,homework task,student test,daily walk,A,The English word or phrase for 'ingliz tili guruh' is 'English group'.
441,English group,ingliz tili guruh,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,homework task,student test,daily walk,English group,D,The best answer in this context is 'English group' (ingliz tili guruh).
442,English task,ingliz tili topshiriq,Low,School,EN→UZ,Choose the best Uzbek meaning of 'English task'.,o‘quvchi,do‘st,ingliz tili topshiriq,mahalliy xizmat,C,'English task' means 'ingliz tili topshiriq' in Uzbek. Remember it together with its context.
443,English task,ingliz tili topshiriq,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'ingliz tili topshiriq'.,friend,English task,local service,student,B,The English word or phrase for 'ingliz tili topshiriq' is 'English task'.
444,English task,ingliz tili topshiriq,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,English task,local service,student,friend,A,The best answer in this context is 'English task' (ingliz tili topshiriq).
445,English note,ingliz tili qayd,Low,School,EN→UZ,Choose the best Uzbek meaning of 'English note'.,mahalliy reja,uy vazifasi,mamlakat,ingliz tili qayd,D,'English note' means 'ingliz tili qayd' in Uzbek. Remember it together with its context.
446,English note,ingliz tili qayd,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'ingliz tili qayd'.,homework,country,English note,local plan,C,The English word or phrase for 'ingliz tili qayd' is 'English note'.
447,English note,ingliz tili qayd,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,country,English note,local plan,homework,B,The best answer in this context is 'English note' (ingliz tili qayd).
448,reading book,o‘qish kitob,Low,School,EN→UZ,Choose the best Uzbek meaning of 'reading book'.,o‘qish kitob,sayyohlik vaqt,tinglamoq,chipta,A,'reading book' means 'o‘qish kitob' in Uzbek. Remember it together with its context.
449,reading book,o‘qish kitob,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'o‘qish kitob'.,tourist time,listen,ticket,reading book,D,The English word or phrase for 'o‘qish kitob' is 'reading book'.
450,reading book,o‘qish kitob,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,listen,ticket,reading book,tourist time,C,The best answer in this context is 'reading book' (o‘qish kitob).
451,reading room,o‘qish xona,Low,School,EN→UZ,Choose the best Uzbek meaning of 'reading room'.,maktab test,o‘qish xona,gapirmoq,sayohat qilmoq,B,'reading room' means 'o‘qish xona' in Uzbek. Remember it together with its context.
452,reading room,o‘qish xona,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'o‘qish xona'.,reading room,speak,travel,school test,A,The English word or phrase for 'o‘qish xona' is 'reading room'.
453,reading room,o‘qish xona,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,speak,travel,school test,reading room,D,The best answer in this context is 'reading room' (o‘qish xona).
454,reading work,o‘qish ish,Low,School,EN→UZ,Choose the best Uzbek meaning of 'reading work'.,kechqurun,sinf xona,o‘qish ish,xursand,C,'reading work' means 'o‘qish ish' in Uzbek. Remember it together with its context.
455,reading work,o‘qish ish,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'o‘qish ish'.,class room,reading work,happy,evening,B,The English word or phrase for 'o‘qish ish' is 'reading work'.
456,reading work,o‘qish ish,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,reading work,happy,evening,class room,A,The best answer in this context is 'reading work' (o‘qish ish).
457,reading time,o‘qish vaqt,Low,School,EN→UZ,Choose the best Uzbek meaning of 'reading time'.,sayyohlik qo‘llanma,oson,piyoda yurmoq,o‘qish vaqt,D,'reading time' means 'o‘qish vaqt' in Uzbek. Remember it together with its context.
458,reading time,o‘qish vaqt,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'o‘qish vaqt'.,easy,walk,reading time,tourist guide,C,The English word or phrase for 'o‘qish vaqt' is 'reading time'.
459,reading time,o‘qish vaqt,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,walk,reading time,tourist guide,easy,B,The best answer in this context is 'reading time' (o‘qish vaqt).
460,reading plan,o‘qish reja,Low,School,EN→UZ,Choose the best Uzbek meaning of 'reading plan'.,o‘qish reja,sayyohlik vaqt,tinglamoq,chipta,A,'reading plan' means 'o‘qish reja' in Uzbek. Remember it together with its context.
461,reading plan,o‘qish reja,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'o‘qish reja'.,tourist time,listen,ticket,reading plan,D,The English word or phrase for 'o‘qish reja' is 'reading plan'.
462,reading plan,o‘qish reja,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,listen,ticket,reading plan,tourist time,C,The best answer in this context is 'reading plan' (o‘qish reja).
463,reading test,o‘qish test,Low,School,EN→UZ,Choose the best Uzbek meaning of 'reading test'.,maktab topshiriq,o‘qish test,oson,piyoda yurmoq,B,'reading test' means 'o‘qish test' in Uzbek. Remember it together with its context.
464,reading test,o‘qish test,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'o‘qish test'.,reading test,easy,walk,school task,A,The English word or phrase for 'o‘qish test' is 'reading test'.
465,reading test,o‘qish test,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,easy,walk,school task,reading test,D,The best answer in this context is 'reading test' (o‘qish test).
466,reading practice,o‘qish mashq,Low,School,EN→UZ,Choose the best Uzbek meaning of 'reading practice'.,o‘quvchi topshiriq,kundalik jadval,o‘qish mashq,dars xona,C,'reading practice' means 'o‘qish mashq' in Uzbek. Remember it together with its context.
467,reading practice,o‘qish mashq,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'o‘qish mashq'.,daily schedule,reading practice,lesson room,student task,B,The English word or phrase for 'o‘qish mashq' is 'reading practice'.
468,reading practice,o‘qish mashq,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,reading practice,lesson room,student task,daily schedule,A,The best answer in this context is 'reading practice' (o‘qish mashq).
469,reading group,o‘qish guruh,Low,School,EN→UZ,Choose the best Uzbek meaning of 'reading group'.,o‘quvchi reja,kundalik ovqat,ertalabki reja,o‘qish guruh,D,'reading group' means 'o‘qish guruh' in Uzbek. Remember it together with its context.
470,reading group,o‘qish guruh,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'o‘qish guruh'.,daily meal,morning plan,reading group,student plan,C,The English word or phrase for 'o‘qish guruh' is 'reading group'.
471,reading group,o‘qish guruh,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,morning plan,reading group,student plan,daily meal,B,The best answer in this context is 'reading group' (o‘qish guruh).
472,reading task,o‘qish topshiriq,Low,School,EN→UZ,Choose the best Uzbek meaning of 'reading task'.,o‘qish topshiriq,o‘qituvchi,charchagan,bugun,A,'reading task' means 'o‘qish topshiriq' in Uzbek. Remember it together with its context.
473,reading task,o‘qish topshiriq,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'o‘qish topshiriq'.,teacher,tired,today,reading task,D,The English word or phrase for 'o‘qish topshiriq' is 'reading task'.
474,reading task,o‘qish topshiriq,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,tired,today,reading task,teacher,C,The best answer in this context is 'reading task' (o‘qish topshiriq).
475,reading note,o‘qish qayd,Low,School,EN→UZ,Choose the best Uzbek meaning of 'reading note'.,keyin,o‘qish qayd,sinf,shahar,B,'reading note' means 'o‘qish qayd' in Uzbek. Remember it together with its context.
476,reading note,o‘qish qayd,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'o‘qish qayd'.,reading note,class,city,after,A,The English word or phrase for 'o‘qish qayd' is 'reading note'.
477,reading note,o‘qish qayd,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,class,city,after,reading note,D,The best answer in this context is 'reading note' (o‘qish qayd).
478,word book,so‘z kitob,Low,School,EN→UZ,Choose the best Uzbek meaning of 'word book'.,bozor,maktab kitob,so‘z kitob,savol,C,'word book' means 'so‘z kitob' in Uzbek. Remember it together with its context.
479,word book,so‘z kitob,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'so‘z kitob'.,school book,word book,question,market,B,The English word or phrase for 'so‘z kitob' is 'word book'.
480,word book,so‘z kitob,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,word book,question,market,school book,A,The best answer in this context is 'word book' (so‘z kitob).
481,word room,so‘z xona,Low,School,EN→UZ,Choose the best Uzbek meaning of 'word room'.,do‘kon,maktab xona,sinf topshiriq,so‘z xona,D,'word room' means 'so‘z xona' in Uzbek. Remember it together with its context.
482,word room,so‘z xona,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'so‘z xona'.,school room,class task,word room,shop,C,The English word or phrase for 'so‘z xona' is 'word room'.
483,word room,so‘z xona,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,class task,word room,shop,school room,B,The best answer in this context is 'word room' (so‘z xona).
484,word work,so‘z ish,Low,School,EN→UZ,Choose the best Uzbek meaning of 'word work'.,so‘z ish,ovqat,maktab guruh,ingliz tili reja,A,'word work' means 'so‘z ish' in Uzbek. Remember it together with its context.
485,word work,so‘z ish,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'so‘z ish'.,food,school group,English plan,word work,D,The English word or phrase for 'so‘z ish' is 'word work'.
486,word work,so‘z ish,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,school group,English plan,word work,food,C,The best answer in this context is 'word work' (so‘z ish).
487,word time,so‘z vaqt,Low,School,EN→UZ,Choose the best Uzbek meaning of 'word time'.,maktab reja,so‘z vaqt,tinglamoq,chipta,B,'word time' means 'so‘z vaqt' in Uzbek. Remember it together with its context.
488,word time,so‘z vaqt,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'so‘z vaqt'.,word time,listen,ticket,school plan,A,The English word or phrase for 'so‘z vaqt' is 'word time'.
489,word time,so‘z vaqt,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,listen,ticket,school plan,word time,D,The best answer in this context is 'word time' (so‘z vaqt).
490,word plan,so‘z reja,Low,School,EN→UZ,Choose the best Uzbek meaning of 'word plan'.,bozor,maktab kitob,so‘z reja,savol,C,'word plan' means 'so‘z reja' in Uzbek. Remember it together with its context.
491,word plan,so‘z reja,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'so‘z reja'.,school book,word plan,question,market,B,The English word or phrase for 'so‘z reja' is 'word plan'.
492,word plan,so‘z reja,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,word plan,question,market,school book,A,The best answer in this context is 'word plan' (so‘z reja).
493,word test,so‘z test,Low,School,EN→UZ,Choose the best Uzbek meaning of 'word test'.,chipta,maktab reja,ingliz tili xona,so‘z test,D,'word test' means 'so‘z test' in Uzbek. Remember it together with its context.
494,word test,so‘z test,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'so‘z test'.,school plan,English room,word test,ticket,C,The English word or phrase for 'so‘z test' is 'word test'.
495,word test,so‘z test,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,English room,word test,ticket,school plan,B,The best answer in this context is 'word test' (so‘z test).
496,word practice,so‘z mashq,Low,School,EN→UZ,Choose the best Uzbek meaning of 'word practice'.,so‘z mashq,o‘quvchi reja,kundalik ovqat,ertalabki reja,A,'word practice' means 'so‘z mashq' in Uzbek. Remember it together with its context.
497,word practice,so‘z mashq,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'so‘z mashq'.,student plan,daily meal,morning plan,word practice,D,The English word or phrase for 'so‘z mashq' is 'word practice'.
498,word practice,so‘z mashq,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,daily meal,morning plan,word practice,student plan,C,The best answer in this context is 'word practice' (so‘z mashq).
499,word group,so‘z guruh,Low,School,EN→UZ,Choose the best Uzbek meaning of 'word group'.,uy ovqat,so‘z guruh,o‘qituvchi guruh,ertalabki odat,B,'word group' means 'so‘z guruh' in Uzbek. Remember it together with its context.
500,word group,so‘z guruh,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'so‘z guruh'.,word group,teacher group,morning habit,home meal,A,The English word or phrase for 'so‘z guruh' is 'word group'.
501,word group,so‘z guruh,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,teacher group,morning habit,home meal,word group,D,The best answer in this context is 'word group' (so‘z guruh).
502,word task,so‘z topshiriq,Low,School,EN→UZ,Choose the best Uzbek meaning of 'word task'.,piyoda yurmoq,maktab topshiriq,so‘z topshiriq,oson,C,'word task' means 'so‘z topshiriq' in Uzbek. Remember it together with its context.
503,word task,so‘z topshiriq,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'so‘z topshiriq'.,school task,word task,easy,walk,B,The English word or phrase for 'so‘z topshiriq' is 'word task'.
504,word task,so‘z topshiriq,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,word task,easy,walk,school task,A,The best answer in this context is 'word task' (so‘z topshiriq).
505,word note,so‘z qayd,Low,School,EN→UZ,Choose the best Uzbek meaning of 'word note'.,xursand,kechqurun,sinf xona,so‘z qayd,D,'word note' means 'so‘z qayd' in Uzbek. Remember it together with its context.
506,word note,so‘z qayd,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'so‘z qayd'.,evening,class room,word note,happy,C,The English word or phrase for 'so‘z qayd' is 'word note'.
507,word note,so‘z qayd,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,class room,word note,happy,evening,B,The best answer in this context is 'word note' (so‘z qayd).
508,study book,o‘qish kitob,Low,School,EN→UZ,Choose the best Uzbek meaning of 'study book'.,o‘qish kitob,o‘qituvchi ish,kundalik mashq,kechki vaqt,A,'study book' means 'o‘qish kitob' in Uzbek. Remember it together with its context.
509,study book,o‘qish kitob,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'o‘qish kitob'.,teacher work,daily exercise,evening time,study book,D,The English word or phrase for 'o‘qish kitob' is 'study book'.
510,study book,o‘qish kitob,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,daily exercise,evening time,study book,teacher work,C,The best answer in this context is 'study book' (o‘qish kitob).
511,study room,o‘qish xona,Low,School,EN→UZ,Choose the best Uzbek meaning of 'study room'.,oilaviy odat,o‘qish xona,ertalabki tartib,kechki tanaffus,B,'study room' means 'o‘qish xona' in Uzbek. Remember it together with its context.
512,study room,o‘qish xona,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'o‘qish xona'.,study room,morning routine,evening break,family habit,A,The English word or phrase for 'o‘qish xona' is 'study room'.
513,study room,o‘qish xona,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,morning routine,evening break,family habit,study room,D,The best answer in this context is 'study room' (o‘qish xona).
514,study work,o‘qish ish,Low,School,EN→UZ,Choose the best Uzbek meaning of 'study work'.,uy faoliyat,bo‘sh tartib,o‘qish ish,ertalabki vaqt,C,'study work' means 'o‘qish ish' in Uzbek. Remember it together with its context.
515,study work,o‘qish ish,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'o‘qish ish'.,free routine,study work,morning time,home activity,B,The English word or phrase for 'o‘qish ish' is 'study work'.
516,study work,o‘qish ish,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,study work,morning time,home activity,free routine,A,The best answer in this context is 'study work' (o‘qish ish).
517,study time,o‘qish vaqt,Low,School,EN→UZ,Choose the best Uzbek meaning of 'study time'.,o‘qituvchi mashq,ertalabki faoliyat,uy tartib,o‘qish vaqt,D,'study time' means 'o‘qish vaqt' in Uzbek. Remember it together with its context.
518,study time,o‘qish vaqt,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'o‘qish vaqt'.,morning activity,home routine,study time,teacher practice,C,The English word or phrase for 'o‘qish vaqt' is 'study time'.
519,study time,o‘qish vaqt,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,home routine,study time,teacher practice,morning activity,B,The best answer in this context is 'study time' (o‘qish vaqt).
520,study plan,o‘qish reja,Low,School,EN→UZ,Choose the best Uzbek meaning of 'study plan'.,o‘qish reja,o‘qituvchi ish,kundalik mashq,kechki vaqt,A,'study plan' means 'o‘qish reja' in Uzbek. Remember it together with its context.
521,study plan,o‘qish reja,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'o‘qish reja'.,teacher work,daily exercise,evening time,study plan,D,The English word or phrase for 'o‘qish reja' is 'study plan'.
522,study plan,o‘qish reja,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,daily exercise,evening time,study plan,teacher work,C,The best answer in this context is 'study plan' (o‘qish reja).
523,study test,o‘qish test,Low,School,EN→UZ,Choose the best Uzbek meaning of 'study test'.,oilaviy tanaffus,o‘qish test,ertalabki faoliyat,uy tartib,B,'study test' means 'o‘qish test' in Uzbek. Remember it together with its context.
524,study test,o‘qish test,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'o‘qish test'.,study test,morning activity,home routine,family break,A,The English word or phrase for 'o‘qish test' is 'study test'.
525,study test,o‘qish test,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,morning activity,home routine,family break,study test,D,The best answer in this context is 'study test' (o‘qish test).
526,study practice,o‘qish mashq,Low,School,EN→UZ,Choose the best Uzbek meaning of 'study practice'.,sayohat bekat,mahalliy vaqt,o‘qish mashq,avtobus ma’lumot,C,'study practice' means 'o‘qish mashq' in Uzbek. Remember it together with its context.
527,study practice,o‘qish mashq,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'o‘qish mashq'.,local time,study practice,bus information,travel stop,B,The English word or phrase for 'o‘qish mashq' is 'study practice'.
528,study practice,o‘qish mashq,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,study practice,bus information,travel stop,local time,A,The best answer in this context is 'study practice' (o‘qish mashq).
529,study group,o‘qish guruh,Low,School,EN→UZ,Choose the best Uzbek meaning of 'study group'.,sayohat yo‘nalish,shahar ma’lumot,sayyohlik bekat,o‘qish guruh,D,'study group' means 'o‘qish guruh' in Uzbek. Remember it together with its context.
530,study group,o‘qish guruh,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'o‘qish guruh'.,city information,tourist stop,study group,travel route,C,The English word or phrase for 'o‘qish guruh' is 'study group'.
531,study group,o‘qish guruh,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,tourist stop,study group,travel route,city information,B,The best answer in this context is 'study group' (o‘qish guruh).
532,study task,o‘qish topshiriq,Low,School,EN→UZ,Choose the best Uzbek meaning of 'study task'.,o‘qish topshiriq,kundalik tartib,ertalabki tanaffus,uy odat,A,'study task' means 'o‘qish topshiriq' in Uzbek. Remember it together with its context.
533,study task,o‘qish topshiriq,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'o‘qish topshiriq'.,daily routine,morning break,home habit,study task,D,The English word or phrase for 'o‘qish topshiriq' is 'study task'.
534,study task,o‘qish topshiriq,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,morning break,home habit,study task,daily routine,C,The best answer in this context is 'study task' (o‘qish topshiriq).
535,study note,o‘qish qayd,Low,School,EN→UZ,Choose the best Uzbek meaning of 'study note'.,uy tanaffus,o‘qish qayd,kundalik faoliyat,kechki tartib,B,'study note' means 'o‘qish qayd' in Uzbek. Remember it together with its context.
536,study note,o‘qish qayd,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'o‘qish qayd'.,study note,daily activity,evening routine,home break,A,The English word or phrase for 'o‘qish qayd' is 'study note'.
537,study note,o‘qish qayd,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,daily activity,evening routine,home break,study note,D,The best answer in this context is 'study note' (o‘qish qayd).
538,homework book,uy vazifasi kitob,Low,School,EN→UZ,Choose the best Uzbek meaning of 'homework book'.,ertalabki tanaffus,uy odat,uy vazifasi kitob,kundalik tartib,C,'homework book' means 'uy vazifasi kitob' in Uzbek. Remember it together with its context.
539,homework book,uy vazifasi kitob,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'uy vazifasi kitob'.,home habit,homework book,daily routine,morning break,B,The English word or phrase for 'uy vazifasi kitob' is 'homework book'.
540,homework book,uy vazifasi kitob,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,homework book,daily routine,morning break,home habit,A,The best answer in this context is 'homework book' (uy vazifasi kitob).
541,homework room,uy vazifasi xona,Low,School,EN→UZ,Choose the best Uzbek meaning of 'homework room'.,ertalabki reja,uy jadval,bo‘sh sayr,uy vazifasi xona,D,'homework room' means 'uy vazifasi xona' in Uzbek. Remember it together with its context.
542,homework room,uy vazifasi xona,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'uy vazifasi xona'.,home schedule,free walk,homework room,morning plan,C,The English word or phrase for 'uy vazifasi xona' is 'homework room'.
543,homework room,uy vazifasi xona,Low,School,Context,The lesson uses the vocabulary item _____ in a school context.,free walk,homework room,morning plan,home schedule,B,The best answer in this context is 'homework room' (uy vazifasi xona).
544,homework work,uy vazifasi ish,Low,School,EN→UZ,Choose the best Uzbek meaning of 'homework work'.,uy vazifasi ish,kechki odat,oilaviy ovqat,bo‘sh reja,A,'homework work' means 'uy vazifasi ish' in Uzbek. Remember it together with its context.
545,homework work,uy vazifasi ish,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'uy vazifasi ish'.,evening habit,family meal,free plan,homework work,D,The English word or phrase for 'uy vazifasi ish' is 'homework work'.
