ID,Topic,Difficulty,Kind,Passage,Question,Option A,Option B,Option C,Option D,Correct,Explanation
107,History & Innovation,High,Detail,"An invention may work technically but fail commercially if it is too expensive, difficult to use, or introduced before supporting infrastructure exists. Innovation therefore depends on more than engineering alone.",What can cause a technically successful invention to fail commercially?,the opposite of the writer's point,"high cost, poor usability, or missing infrastructure",a claim the passage does not support,an unrelated interpretation,B,"Correct answer: high cost, poor usability, or missing infrastructure. The passage directly supports this answer; the other choices are not supported by the text."
108,History & Innovation,High,Reasoning,"An invention may work technically but fail commercially if it is too expensive, difficult to use, or introduced before supporting infrastructure exists. Innovation therefore depends on more than engineering alone.",What is the central idea?,Technical success alone does not guarantee market success.,a claim the passage does not support,an unrelated interpretation,the opposite of the writer's point,A,Correct answer: Technical success alone does not guarantee market success.. The passage directly supports this answer; the other choices are not supported by the text.
109,Media & Communication,Low,Detail,A news headline gives a short summary of an article. Readers should still read the full article before forming a strong opinion.,What does a headline provide?,a completely different activity,something not mentioned in the passage,the opposite of the passage,a short summary,D,Correct answer: a short summary. The passage directly supports this answer; the other choices are not supported by the text.
110,Media & Communication,Low,Reasoning,A news headline gives a short summary of an article. Readers should still read the full article before forming a strong opinion.,Why should readers open the full article?,something not mentioned in the passage,the opposite of the passage,A headline may not include all important details.,a completely different activity,C,Correct answer: A headline may not include all important details.. The passage directly supports this answer; the other choices are not supported by the text.
111,Media & Communication,Low,Detail,A student receives an email from an unknown sender asking for a password. The school warns students never to share passwords by email.,What does the unknown sender ask for?,the opposite of the passage,a password,a completely different activity,something not mentioned in the passage,B,Correct answer: a password. The passage directly supports this answer; the other choices are not supported by the text.
112,Media & Communication,Low,Reasoning,A student receives an email from an unknown sender asking for a password. The school warns students never to share passwords by email.,What should the student do?,avoid sharing the password,a completely different activity,something not mentioned in the passage,the opposite of the passage,A,Correct answer: avoid sharing the password. The passage directly supports this answer; the other choices are not supported by the text.
113,Media & Communication,Medium,Detail,"A student sees the same claim on several websites and assumes it must be true. Later, she discovers that all the sites copied one original source that provided no evidence.",What did the websites have in common?,a result not supported by the passage,an unrelated explanation,the opposite conclusion,They copied the same original source.,D,Correct answer: They copied the same original source.. The passage directly supports this answer; the other choices are not supported by the text.
114,Media & Communication,Medium,Reasoning,"A student sees the same claim on several websites and assumes it must be true. Later, she discovers that all the sites copied one original source that provided no evidence.",Why was the number of websites misleading?,an unrelated explanation,the opposite conclusion,They were not independent sources.,a result not supported by the passage,C,Correct answer: They were not independent sources.. The passage directly supports this answer; the other choices are not supported by the text.
115,Media & Communication,Medium,Detail,Online messages can be difficult to interpret because facial expression and voice are missing. A short message may sound rude even when the sender did not intend it that way.,What is missing from many online messages?,the opposite conclusion,facial expression and voice,a result not supported by the passage,an unrelated explanation,B,Correct answer: facial expression and voice. The passage directly supports this answer; the other choices are not supported by the text.
116,Media & Communication,Medium,Reasoning,Online messages can be difficult to interpret because facial expression and voice are missing. A short message may sound rude even when the sender did not intend it that way.,Why can a short message be misunderstood?,It lacks nonverbal clues about tone.,a result not supported by the passage,an unrelated explanation,the opposite conclusion,A,Correct answer: It lacks nonverbal clues about tone.. The passage directly supports this answer; the other choices are not supported by the text.
117,Media & Communication,High,Detail,"An online platform recommends content based on what users previously watched. This is convenient, but very narrow recommendations may reduce exposure to unfamiliar viewpoints.",What are recommendations based on?,a claim the passage does not support,an unrelated interpretation,the opposite of the writer's point,what users previously watched,D,Correct answer: what users previously watched. The passage directly supports this answer; the other choices are not supported by the text.
118,Media & Communication,High,Reasoning,"An online platform recommends content based on what users previously watched. This is convenient, but very narrow recommendations may reduce exposure to unfamiliar viewpoints.",What trade-off is described?,an unrelated interpretation,the opposite of the writer's point,personalised convenience versus exposure to varied viewpoints,a claim the passage does not support,C,Correct answer: personalised convenience versus exposure to varied viewpoints. The passage directly supports this answer; the other choices are not supported by the text.
119,Media & Communication,High,Detail,"A chart can use a vertical axis that begins far above zero, making a small difference look dramatic. The numbers may be correct even though the visual presentation creates a distorted impression.",What design feature can exaggerate a difference?,the opposite of the writer's point,a vertical axis that starts far above zero,a claim the passage does not support,an unrelated interpretation,B,Correct answer: a vertical axis that starts far above zero. The passage directly supports this answer; the other choices are not supported by the text.
120,Media & Communication,High,Reasoning,"A chart can use a vertical axis that begins far above zero, making a small difference look dramatic. The numbers may be correct even though the visual presentation creates a distorted impression.",What warning does the passage give?,Correct numbers can still be presented in a misleading way.,a claim the passage does not support,an unrelated interpretation,the opposite of the writer's point,A,Correct answer: Correct numbers can still be presented in a misleading way.. The passage directly supports this answer; the other choices are not supported by the text.
121,Daily Life,Low,Detail,"A student decided to set a morning alarm. The main purpose was to reduce unnecessary stress. After a short period, morning stress decreased. The change was simple and easy to observe.",What was the main purpose of the action described in the passage?,Arrive on time.,Save time in the morning.,Finish daily tasks more reliably.,Reduce unnecessary stress.,D,The passage directly says the purpose was to reduce unnecessary stress.
122,Daily Life,Low,Detail,"A family decided to limit phone use. The main purpose was to finish daily tasks more reliably. After a short period, the person felt more organized. The change was simple and easy to observe.",What was the main purpose of the action described in the passage?,Build a consistent routine.,Avoid forgetting important items.,Finish daily tasks more reliably.,Reduce unnecessary stress.,C,The passage directly says the purpose was to finish daily tasks more reliably.
123,Daily Life,Low,Detail,"A teenager decided to use a weekly schedule. The main purpose was to reduce unnecessary stress. After a short period, more tasks were completed. The change was simple and easy to observe.",What was the main purpose of the action described in the passage?,Arrive on time.,Reduce unnecessary stress.,Save time in the morning.,Finish daily tasks more reliably.,B,The passage directly says the purpose was to reduce unnecessary stress.
124,Daily Life,Low,Detail,"A shop worker decided to set a morning alarm. The main purpose was to finish daily tasks more reliably. After a short period, morning stress decreased. The change was simple and easy to observe.",What was the main purpose of the action described in the passage?,Finish daily tasks more reliably.,Build a consistent routine.,Avoid forgetting important items.,Reduce unnecessary stress.,A,The passage directly says the purpose was to finish daily tasks more reliably.
125,Daily Life,Low,Detail,"A university student decided to limit phone use. The main purpose was to reduce unnecessary stress. After a short period, the person felt more organized. The change was simple and easy to observe.",What was the main purpose of the action described in the passage?,Finish daily tasks more reliably.,Arrive on time.,Save time in the morning.,Reduce unnecessary stress.,D,The passage directly says the purpose was to reduce unnecessary stress.
126,Daily Life,Low,Detail,"A commuter decided to use a weekly schedule. The main purpose was to finish daily tasks more reliably. After a short period, more tasks were completed. The change was simple and easy to observe.",What was the main purpose of the action described in the passage?,Reduce unnecessary stress.,Build a consistent routine.,Finish daily tasks more reliably.,Avoid forgetting important items.,C,The passage directly says the purpose was to finish daily tasks more reliably.
127,Daily Life,Low,Detail,"A student decided to set a morning alarm. The main purpose was to reduce unnecessary stress. After a short period, morning stress decreased. The change was simple and easy to observe.",What was the main purpose of the action described in the passage?,Finish daily tasks more reliably.,Reduce unnecessary stress.,Arrive on time.,Save time in the morning.,B,The passage directly says the purpose was to reduce unnecessary stress.
128,Daily Life,Low,Detail,"A family decided to limit phone use. The main purpose was to finish daily tasks more reliably. After a short period, the person felt more organized. The change was simple and easy to observe.",What was the main purpose of the action described in the passage?,Finish daily tasks more reliably.,Reduce unnecessary stress.,Build a consistent routine.,Avoid forgetting important items.,A,The passage directly says the purpose was to finish daily tasks more reliably.
129,Daily Life,Low,Detail,"A teenager decided to use a weekly schedule. The main purpose was to reduce unnecessary stress. After a short period, more tasks were completed. The change was simple and easy to observe.",What was the main purpose of the action described in the passage?,Save time in the morning.,Finish daily tasks more reliably.,Arrive on time.,Reduce unnecessary stress.,D,The passage directly says the purpose was to reduce unnecessary stress.
130,Daily Life,Low,Detail,"A shop worker decided to set a morning alarm. The main purpose was to finish daily tasks more reliably. After a short period, morning stress decreased. The change was simple and easy to observe.",What was the main purpose of the action described in the passage?,Avoid forgetting important items.,Reduce unnecessary stress.,Finish daily tasks more reliably.,Build a consistent routine.,C,The passage directly says the purpose was to finish daily tasks more reliably.
131,Daily Life,Low,Detail,"A university student decided to limit phone use. The main purpose was to reduce unnecessary stress. After a short period, the person felt more organized. The change was simple and easy to observe.",What was the main purpose of the action described in the passage?,Save time in the morning.,Reduce unnecessary stress.,Finish daily tasks more reliably.,Arrive on time.,B,The passage directly says the purpose was to reduce unnecessary stress.
132,Daily Life,Medium,Inference,"A student introduced a change: set a morning alarm. The goal was to reduce unnecessary stress. After several weeks, morning stress decreased. However, weekends were still less organized. The evidence suggests that the approach helped, although it was not a complete solution.",Which conclusion is best supported by the passage?,"The change helped to reduce unnecessary stress, but it had limitations.",The change solved every problem immediately.,The change had no measurable effect.,The original problem became worse only because more people participated.,A,The passage gives a positive result but also notes that weekends were still less organized.
133,Daily Life,Medium,Inference,"A family introduced a change: limit phone use. The goal was to finish daily tasks more reliably. After several weeks, the person felt more organized. However, the routine required consistency. The evidence suggests that the approach helped, although it was not a complete solution.",Which conclusion is best supported by the passage?,The change solved every problem immediately.,The change had no measurable effect.,The original problem became worse only because more people participated.,"The change helped to finish daily tasks more reliably, but it had limitations.",D,The passage gives a positive result but also notes that the routine required consistency.
134,Daily Life,Medium,Inference,"A teenager introduced a change: use a weekly schedule. The goal was to reduce unnecessary stress. After several weeks, more tasks were completed. However, the change saved only a few minutes. The evidence suggests that the approach helped, although it was not a complete solution.",Which conclusion is best supported by the passage?,The change had no measurable effect.,The original problem became worse only because more people participated.,"The change helped to reduce unnecessary stress, but it had limitations.",The change solved every problem immediately.,C,The passage gives a positive result but also notes that the change saved only a few minutes.
135,Daily Life,Medium,Inference,"A shop worker introduced a change: set a morning alarm. The goal was to finish daily tasks more reliably. After several weeks, morning stress decreased. However, the benefit appeared gradually. The evidence suggests that the approach helped, although it was not a complete solution.",Which conclusion is best supported by the passage?,The original problem became worse only because more people participated.,"The change helped to finish daily tasks more reliably, but it had limitations.",The change solved every problem immediately.,The change had no measurable effect.,B,The passage gives a positive result but also notes that the benefit appeared gradually.
136,Daily Life,Medium,Inference,"A university student introduced a change: limit phone use. The goal was to reduce unnecessary stress. After several weeks, the person felt more organized. However, the method did not solve every problem. The evidence suggests that the approach helped, although it was not a complete solution.",Which conclusion is best supported by the passage?,"The change helped to reduce unnecessary stress, but it had limitations.",The change solved every problem immediately.,The change had no measurable effect.,The original problem became worse only because more people participated.,A,The passage gives a positive result but also notes that the method did not solve every problem.
137,Daily Life,Medium,Inference,"A commuter introduced a change: use a weekly schedule. The goal was to finish daily tasks more reliably. After several weeks, more tasks were completed. However, unexpected events still caused delays. The evidence suggests that the approach helped, although it was not a complete solution.",Which conclusion is best supported by the passage?,The change solved every problem immediately.,The change had no measurable effect.,The original problem became worse only because more people participated.,"The change helped to finish daily tasks more reliably, but it had limitations.",D,The passage gives a positive result but also notes that unexpected events still caused delays.
138,Daily Life,Medium,Inference,"A student introduced a change: set a morning alarm. The goal was to reduce unnecessary stress. After several weeks, morning stress decreased. However, weekends were still less organized. The evidence suggests that the approach helped, although it was not a complete solution.",Which conclusion is best supported by the passage?,The change had no measurable effect.,The original problem became worse only because more people participated.,"The change helped to reduce unnecessary stress, but it had limitations.",The change solved every problem immediately.,C,The passage gives a positive result but also notes that weekends were still less organized.
139,Daily Life,Medium,Inference,"A family introduced a change: limit phone use. The goal was to finish daily tasks more reliably. After several weeks, the person felt more organized. However, the routine required consistency. The evidence suggests that the approach helped, although it was not a complete solution.",Which conclusion is best supported by the passage?,The original problem became worse only because more people participated.,"The change helped to finish daily tasks more reliably, but it had limitations.",The change solved every problem immediately.,The change had no measurable effect.,B,The passage gives a positive result but also notes that the routine required consistency.
140,Daily Life,Medium,Inference,"A teenager introduced a change: use a weekly schedule. The goal was to reduce unnecessary stress. After several weeks, more tasks were completed. However, the change saved only a few minutes. The evidence suggests that the approach helped, although it was not a complete solution.",Which conclusion is best supported by the passage?,"The change helped to reduce unnecessary stress, but it had limitations.",The change solved every problem immediately.,The change had no measurable effect.,The original problem became worse only because more people participated.,A,The passage gives a positive result but also notes that the change saved only a few minutes.
141,Daily Life,Medium,Inference,"A shop worker introduced a change: set a morning alarm. The goal was to finish daily tasks more reliably. After several weeks, morning stress decreased. However, the benefit appeared gradually. The evidence suggests that the approach helped, although it was not a complete solution.",Which conclusion is best supported by the passage?,The change solved every problem immediately.,The change had no measurable effect.,The original problem became worse only because more people participated.,"The change helped to finish daily tasks more reliably, but it had limitations.",D,The passage gives a positive result but also notes that the benefit appeared gradually.
142,Daily Life,Medium,Inference,"A university student introduced a change: limit phone use. The goal was to reduce unnecessary stress. After several weeks, the person felt more organized. However, the method did not solve every problem. The evidence suggests that the approach helped, although it was not a complete solution.",Which conclusion is best supported by the passage?,The change had no measurable effect.,The original problem became worse only because more people participated.,"The change helped to reduce unnecessary stress, but it had limitations.",The change solved every problem immediately.,C,The passage gives a positive result but also notes that the method did not solve every problem.
143,Daily Life,Medium,Inference,"A commuter introduced a change: use a weekly schedule. The goal was to finish daily tasks more reliably. After several weeks, more tasks were completed. However, unexpected events still caused delays. The evidence suggests that the approach helped, although it was not a complete solution.",Which conclusion is best supported by the passage?,The original problem became worse only because more people participated.,"The change helped to finish daily tasks more reliably, but it had limitations.",The change solved every problem immediately.,The change had no measurable effect.,B,The passage gives a positive result but also notes that unexpected events still caused delays.
144,Daily Life,Medium,Inference,"A student introduced a change: set a morning alarm. The goal was to reduce unnecessary stress. After several weeks, morning stress decreased. However, weekends were still less organized. The evidence suggests that the approach helped, although it was not a complete solution.",Which conclusion is best supported by the passage?,"The change helped to reduce unnecessary stress, but it had limitations.",The change solved every problem immediately.,The change had no measurable effect.,The original problem became worse only because more people participated.,A,The passage gives a positive result but also notes that weekends were still less organized.
145,Daily Life,Medium,Inference,"A family introduced a change: limit phone use. The goal was to finish daily tasks more reliably. After several weeks, the person felt more organized. However, the routine required consistency. The evidence suggests that the approach helped, although it was not a complete solution.",Which conclusion is best supported by the passage?,The change solved every problem immediately.,The change had no measurable effect.,The original problem became worse only because more people participated.,"The change helped to finish daily tasks more reliably, but it had limitations.",D,The passage gives a positive result but also notes that the routine required consistency.
146,Daily Life,Medium,Inference,"A teenager introduced a change: use a weekly schedule. The goal was to reduce unnecessary stress. After several weeks, more tasks were completed. However, the change saved only a few minutes. The evidence suggests that the approach helped, although it was not a complete solution.",Which conclusion is best supported by the passage?,The change had no measurable effect.,The original problem became worse only because more people participated.,"The change helped to reduce unnecessary stress, but it had limitations.",The change solved every problem immediately.,C,The passage gives a positive result but also notes that the change saved only a few minutes.
147,Daily Life,Medium,Inference,"A shop worker introduced a change: set a morning alarm. The goal was to finish daily tasks more reliably. After several weeks, morning stress decreased. However, the benefit appeared gradually. The evidence suggests that the approach helped, although it was not a complete solution.",Which conclusion is best supported by the passage?,The original problem became worse only because more people participated.,"The change helped to finish daily tasks more reliably, but it had limitations.",The change solved every problem immediately.,The change had no measurable effect.,B,The passage gives a positive result but also notes that the benefit appeared gradually.
148,Daily Life,High,Critical Reading,"A student evaluated whether to set a morning alarm. Supporters argued that it could reduce unnecessary stress, and early evidence showed that morning stress decreased. Critics pointed out that weekends were still less organized. The passage suggests that the value of the change depends on context, implementation, and how results are measured.",What is the writer's main argument?,The change should be judged by considering both its benefits and its limitations.,The change should always be rejected because it has limitations.,Early positive evidence proves the change will work in every situation.,The topic cannot be evaluated using evidence or measurable outcomes.,A,The passage presents both advantages and limitations and recommends balanced evaluation.
149,Daily Life,High,Critical Reading,"A family evaluated whether to limit phone use. Supporters argued that it could finish daily tasks more reliably, and early evidence showed that the person felt more organized. Critics pointed out that the routine required consistency. The passage suggests that the value of the change depends on context, implementation, and how results are measured.",What is the writer's main argument?,The change should always be rejected because it has limitations.,Early positive evidence proves the change will work in every situation.,The topic cannot be evaluated using evidence or measurable outcomes.,The change should be judged by considering both its benefits and its limitations.,D,The passage presents both advantages and limitations and recommends balanced evaluation.
150,Daily Life,High,Critical Reading,"A teenager evaluated whether to use a weekly schedule. Supporters argued that it could reduce unnecessary stress, and early evidence showed that more tasks were completed. Critics pointed out that the change saved only a few minutes. The passage suggests that the value of the change depends on context, implementation, and how results are measured.",What is the writer's main argument?,Early positive evidence proves the change will work in every situation.,The topic cannot be evaluated using evidence or measurable outcomes.,The change should be judged by considering both its benefits and its limitations.,The change should always be rejected because it has limitations.,C,The passage presents both advantages and limitations and recommends balanced evaluation.
151,Daily Life,High,Critical Reading,"A shop worker evaluated whether to set a morning alarm. Supporters argued that it could finish daily tasks more reliably, and early evidence showed that morning stress decreased. Critics pointed out that the benefit appeared gradually. The passage suggests that the value of the change depends on context, implementation, and how results are measured.",What is the writer's main argument?,The topic cannot be evaluated using evidence or measurable outcomes.,The change should be judged by considering both its benefits and its limitations.,The change should always be rejected because it has limitations.,Early positive evidence proves the change will work in every situation.,B,The passage presents both advantages and limitations and recommends balanced evaluation.
152,Daily Life,High,Critical Reading,"A university student evaluated whether to limit phone use. Supporters argued that it could reduce unnecessary stress, and early evidence showed that the person felt more organized. Critics pointed out that the method did not solve every problem. The passage suggests that the value of the change depends on context, implementation, and how results are measured.",What is the writer's main argument?,The change should be judged by considering both its benefits and its limitations.,The change should always be rejected because it has limitations.,Early positive evidence proves the change will work in every situation.,The topic cannot be evaluated using evidence or measurable outcomes.,A,The passage presents both advantages and limitations and recommends balanced evaluation.
153,Daily Life,High,Critical Reading,"A commuter evaluated whether to use a weekly schedule. Supporters argued that it could finish daily tasks more reliably, and early evidence showed that more tasks were completed. Critics pointed out that unexpected events still caused delays. The passage suggests that the value of the change depends on context, implementation, and how results are measured.",What is the writer's main argument?,The change should always be rejected because it has limitations.,Early positive evidence proves the change will work in every situation.,The topic cannot be evaluated using evidence or measurable outcomes.,The change should be judged by considering both its benefits and its limitations.,D,The passage presents both advantages and limitations and recommends balanced evaluation.
154,Daily Life,High,Critical Reading,"A student evaluated whether to set a morning alarm. Supporters argued that it could reduce unnecessary stress, and early evidence showed that morning stress decreased. Critics pointed out that weekends were still less organized. The passage suggests that the value of the change depends on context, implementation, and how results are measured.",What is the writer's main argument?,Early positive evidence proves the change will work in every situation.,The topic cannot be evaluated using evidence or measurable outcomes.,The change should be judged by considering both its benefits and its limitations.,The change should always be rejected because it has limitations.,C,The passage presents both advantages and limitations and recommends balanced evaluation.
155,Daily Life,High,Critical Reading,"A family evaluated whether to limit phone use. Supporters argued that it could finish daily tasks more reliably, and early evidence showed that the person felt more organized. Critics pointed out that the routine required consistency. The passage suggests that the value of the change depends on context, implementation, and how results are measured.",What is the writer's main argument?,The topic cannot be evaluated using evidence or measurable outcomes.,The change should be judged by considering both its benefits and its limitations.,The change should always be rejected because it has limitations.,Early positive evidence proves the change will work in every situation.,B,The passage presents both advantages and limitations and recommends balanced evaluation.
156,Daily Life,High,Critical Reading,"A teenager evaluated whether to use a weekly schedule. Supporters argued that it could reduce unnecessary stress, and early evidence showed that more tasks were completed. Critics pointed out that the change saved only a few minutes. The passage suggests that the value of the change depends on context, implementation, and how results are measured.",What is the writer's main argument?,The change should be judged by considering both its benefits and its limitations.,The change should always be rejected because it has limitations.,Early positive evidence proves the change will work in every situation.,The topic cannot be evaluated using evidence or measurable outcomes.,A,The passage presents both advantages and limitations and recommends balanced evaluation.
157,Daily Life,High,Critical Reading,"A shop worker evaluated whether to set a morning alarm. Supporters argued that it could finish daily tasks more reliably, and early evidence showed that morning stress decreased. Critics pointed out that the benefit appeared gradually. The passage suggests that the value of the change depends on context, implementation, and how results are measured.",What is the writer's main argument?,The change should always be rejected because it has limitations.,Early positive evidence proves the change will work in every situation.,The topic cannot be evaluated using evidence or measurable outcomes.,The change should be judged by considering both its benefits and its limitations.,D,The passage presents both advantages and limitations and recommends balanced evaluation.
158,Daily Life,High,Critical Reading,"A university student evaluated whether to limit phone use. Supporters argued that it could reduce unnecessary stress, and early evidence showed that the person felt more organized. Critics pointed out that the method did not solve every problem. The passage suggests that the value of the change depends on context, implementation, and how results are measured.",What is the writer's main argument?,Early positive evidence proves the change will work in every situation.,The topic cannot be evaluated using evidence or measurable outcomes.,The change should be judged by considering both its benefits and its limitations.,The change should always be rejected because it has limitations.,C,The passage presents both advantages and limitations and recommends balanced evaluation.
159,Education,Low,Detail,"An english teacher decided to review mistakes after tests. The main purpose was to connect theory with practice. After a short period, students gave more detailed answers. The change was simple and easy to observe.",What was the main purpose of the action described in the passage?,Explain ideas more clearly.,Connect theory with practice.,Understand mistakes.,Identify weak areas.,B,The passage directly says the purpose was to connect theory with practice.
160,Education,Low,Detail,"A science teacher decided to use short daily quizzes. The main purpose was to explain ideas more clearly. After a short period, students remembered more after one week. The change was simple and easy to observe.",What was the main purpose of the action described in the passage?,Explain ideas more clearly.,Connect theory with practice.,Remember vocabulary longer.,Improve long-term memory.,A,The passage directly says the purpose was to explain ideas more clearly.
161,Education,Low,Detail,"A study group decided to write example sentences. The main purpose was to connect theory with practice. After a short period, knowledge gaps became easier to see. The change was simple and easy to observe.",What was the main purpose of the action described in the passage?,Identify weak areas.,Explain ideas more clearly.,Understand mistakes.,Connect theory with practice.,D,The passage directly says the purpose was to connect theory with practice.
162,Education,Low,Detail,"A university class decided to review mistakes after tests. The main purpose was to explain ideas more clearly. After a short period, students gave more detailed answers. The change was simple and easy to observe.",What was the main purpose of the action described in the passage?,Improve long-term memory.,Connect theory with practice.,Explain ideas more clearly.,Remember vocabulary longer.,C,The passage directly says the purpose was to explain ideas more clearly.
163,Education,Low,Detail,"A school library decided to use short daily quizzes. The main purpose was to connect theory with practice. After a short period, students remembered more after one week. The change was simple and easy to observe.",What was the main purpose of the action described in the passage?,Identify weak areas.,Connect theory with practice.,Explain ideas more clearly.,Understand mistakes.,B,The passage directly says the purpose was to connect theory with practice.
164,Education,Low,Detail,"A language learner decided to write example sentences. The main purpose was to explain ideas more clearly. After a short period, knowledge gaps became easier to see. The change was simple and easy to observe.",What was the main purpose of the action described in the passage?,Explain ideas more clearly.,Improve long-term memory.,Connect theory with practice.,Remember vocabulary longer.,A,The passage directly says the purpose was to explain ideas more clearly.
165,Education,Low,Detail,"An english teacher decided to review mistakes after tests. The main purpose was to connect theory with practice. After a short period, students gave more detailed answers. The change was simple and easy to observe.",What was the main purpose of the action described in the passage?,Understand mistakes.,Identify weak areas.,Explain ideas more clearly.,Connect theory with practice.,D,The passage directly says the purpose was to connect theory with practice.
166,Education,Low,Detail,"A science teacher decided to use short daily quizzes. The main purpose was to explain ideas more clearly. After a short period, students remembered more after one week. The change was simple and easy to observe.",What was the main purpose of the action described in the passage?,Remember vocabulary longer.,Improve long-term memory.,Explain ideas more clearly.,Connect theory with practice.,C,The passage directly says the purpose was to explain ideas more clearly.
167,Education,Low,Detail,"A study group decided to write example sentences. The main purpose was to connect theory with practice. After a short period, knowledge gaps became easier to see. The change was simple and easy to observe.",What was the main purpose of the action described in the passage?,Understand mistakes.,Connect theory with practice.,Identify weak areas.,Explain ideas more clearly.,B,The passage directly says the purpose was to connect theory with practice.
168,Education,Low,Detail,"A university class decided to review mistakes after tests. The main purpose was to explain ideas more clearly. After a short period, students gave more detailed answers. The change was simple and easy to observe.",What was the main purpose of the action described in the passage?,Explain ideas more clearly.,Remember vocabulary longer.,Improve long-term memory.,Connect theory with practice.,A,The passage directly says the purpose was to explain ideas more clearly.
169,Education,Low,Detail,"A school library decided to use short daily quizzes. The main purpose was to connect theory with practice. After a short period, students remembered more after one week. The change was simple and easy to observe.",What was the main purpose of the action described in the passage?,Explain ideas more clearly.,Understand mistakes.,Identify weak areas.,Connect theory with practice.,D,The passage directly says the purpose was to connect theory with practice.
170,Education,Medium,Inference,"An english teacher introduced a change: review mistakes after tests. The goal was to connect theory with practice. After several weeks, students gave more detailed answers. However, results varied between students. The evidence suggests that the approach helped, although it was not a complete solution.",Which conclusion is best supported by the passage?,The change had no measurable effect.,The original problem became worse only because more people participated.,"The change helped to connect theory with practice, but it had limitations.",The change solved every problem immediately.,C,The passage gives a positive result but also notes that results varied between students.
171,Education,Medium,Inference,"A science teacher introduced a change: use short daily quizzes. The goal was to explain ideas more clearly. After several weeks, students remembered more after one week. However, the method required regular practice. The evidence suggests that the approach helped, although it was not a complete solution.",Which conclusion is best supported by the passage?,The original problem became worse only because more people participated.,"The change helped to explain ideas more clearly, but it had limitations.",The change solved every problem immediately.,The change had no measurable effect.,B,The passage gives a positive result but also notes that the method required regular practice.
172,Education,Medium,Inference,"A study group introduced a change: write example sentences. The goal was to connect theory with practice. After several weeks, knowledge gaps became easier to see. However, some students needed extra guidance. The evidence suggests that the approach helped, although it was not a complete solution.",Which conclusion is best supported by the passage?,"The change helped to connect theory with practice, but it had limitations.",The change solved every problem immediately.,The change had no measurable effect.,The original problem became worse only because more people participated.,A,The passage gives a positive result but also notes that some students needed extra guidance.
173,Education,Medium,Inference,"A university class introduced a change: review mistakes after tests. The goal was to explain ideas more clearly. After several weeks, students gave more detailed answers. However, students still needed independent study. The evidence suggests that the approach helped, although it was not a complete solution.",Which conclusion is best supported by the passage?,The change solved every problem immediately.,The change had no measurable effect.,The original problem became worse only because more people participated.,"The change helped to explain ideas more clearly, but it had limitations.",D,The passage gives a positive result but also notes that students still needed independent study.
174,Education,Medium,Inference,"A school library introduced a change: use short daily quizzes. The goal was to connect theory with practice. After several weeks, students remembered more after one week. However, not every topic improved equally. The evidence suggests that the approach helped, although it was not a complete solution.",Which conclusion is best supported by the passage?,The change had no measurable effect.,The original problem became worse only because more people participated.,"The change helped to connect theory with practice, but it had limitations.",The change solved every problem immediately.,C,The passage gives a positive result but also notes that not every topic improved equally.
175,Education,Medium,Inference,"A language learner introduced a change: write example sentences. The goal was to explain ideas more clearly. After several weeks, knowledge gaps became easier to see. However, the activity took a few minutes of class time. The evidence suggests that the approach helped, although it was not a complete solution.",Which conclusion is best supported by the passage?,The original problem became worse only because more people participated.,"The change helped to explain ideas more clearly, but it had limitations.",The change solved every problem immediately.,The change had no measurable effect.,B,The passage gives a positive result but also notes that the activity took a few minutes of class time.
176,Education,Medium,Inference,"An english teacher introduced a change: review mistakes after tests. The goal was to connect theory with practice. After several weeks, students gave more detailed answers. However, results varied between students. The evidence suggests that the approach helped, although it was not a complete solution.",Which conclusion is best supported by the passage?,"The change helped to connect theory with practice, but it had limitations.",The change solved every problem immediately.,The change had no measurable effect.,The original problem became worse only because more people participated.,A,The passage gives a positive result but also notes that results varied between students.
177,Education,Medium,Inference,"A science teacher introduced a change: use short daily quizzes. The goal was to explain ideas more clearly. After several weeks, students remembered more after one week. However, the method required regular practice. The evidence suggests that the approach helped, although it was not a complete solution.",Which conclusion is best supported by the passage?,The change solved every problem immediately.,The change had no measurable effect.,The original problem became worse only because more people participated.,"The change helped to explain ideas more clearly, but it had limitations.",D,The passage gives a positive result but also notes that the method required regular practice.
178,Education,Medium,Inference,"A study group introduced a change: write example sentences. The goal was to connect theory with practice. After several weeks, knowledge gaps became easier to see. However, some students needed extra guidance. The evidence suggests that the approach helped, although it was not a complete solution.",Which conclusion is best supported by the passage?,The change had no measurable effect.,The original problem became worse only because more people participated.,"The change helped to connect theory with practice, but it had limitations.",The change solved every problem immediately.,C,The passage gives a positive result but also notes that some students needed extra guidance.
179,Education,Medium,Inference,"A university class introduced a change: review mistakes after tests. The goal was to explain ideas more clearly. After several weeks, students gave more detailed answers. However, students still needed independent study. The evidence suggests that the approach helped, although it was not a complete solution.",Which conclusion is best supported by the passage?,The original problem became worse only because more people participated.,"The change helped to explain ideas more clearly, but it had limitations.",The change solved every problem immediately.,The change had no measurable effect.,B,The passage gives a positive result but also notes that students still needed independent study.
